Gene Set	Score	0.95 MoE	P-Value	FDR
YAP signature based on cell NIH3T3_MCD10A in paper GENES & DEVELOPMENT 22:1962–1971 2008	-0.3669337957449479	0.17005744034558587	0.1	0.1
YAP signature based on cell SCC2 Oral Cancer in paper Mol Cancer Res; 13(6) June 2015	-0.43895426259132375	0.19583055387925438	0.075	0.09999999999999999
YAP signature based on cell HEK293 in paper Cell 150, 780–791, August 17, 2012	-0.7663241750862024	0.17953768642755522	0.05	0.09999999999999999
YAP signature based on mechanism	-0.8645264319284641	0.17229649447349654	0.025	0.09999999999999999
