Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
YAP signature based on cell HEK293 in paper Cell 150, 780–791, August 17, 2012	9345.542090782894	8340.356088673607	7914.4773138830715	7545.754019270173	7027.70839915262	7293.545615580316
YAP signature based on cell NIH3T3_MCD10A in paper GENES & DEVELOPMENT 22:1962–1971 2008	11535.757734134178	11237.07426088778	11018.406488126162	10916.794344391263	11140.516687946323	11146.921464218283
YAP signature based on cell SCC2 Oral Cancer in paper Mol Cancer Res; 13(6) June 2015	15336.266011095104	15338.258805407548	15149.679747227006	15240.204376909896	15233.879396338687	15163.059321476663
YAP signature based on mechanism	13465.556433621288	13373.59817618595	13482.702389011865	12605.137644375463	12553.15051983746	12318.265559332529
