Gene Set	Score	0.95 MoE	P-Value	FDR
chr20q12	0.8287178122234852	0.15982856462256215	0.007361963190184049	0.9929447852760737
chr18p11	0.6867210520149418	0.16908911494949444	0.02791411042944785	0.9753846153846154
chr7p	0.6633565673589097	0.1634119266297893	0.034049079754601225	0.9722222222222222
chr9q32	0.6591544784286978	0.24952223179530683	0.03773006134969325	0.971517027863777
chr7q	0.6453681643851679	0.17876382611427985	0.04294478527607362	0.9692546583850933
chr3p24	0.6450167306175763	0.14382089193582118	0.04325153374233129	0.9692546583850933
chr16p13	0.6421329300458973	0.1557895642378504	0.04447852760736196	0.9692546583850933
chr18q11	0.6242574145655563	0.26177263593054356	0.051533742331288344	0.9692546583850933
chr4p12	0.6160463836684996	0.17189023116827457	0.055521472392638035	0.9685534591194969
chr7q36	0.6097177659289637	0.16789852161475297	0.05674846625766871	0.9685534591194969
chr20p11	0.5890832715054125	0.260365157467067	0.06656441717791411	0.9632911392405065
chrxq	0.5753171116499535	0.19310606277679648	0.07269938650306748	0.96
chr2p14	0.564567620854577	0.2758791721903609	0.07638036809815951	0.9592356687898089
chr16q13	0.5635452739610813	0.16041220310907764	0.07668711656441718	0.9592356687898089
chr1p13	0.5573263219341835	0.20619406197858808	0.0785276073619632	0.9592356687898089
chr7p22	0.5539554397654392	0.17375411591336182	0.0794478527607362	0.9592356687898089
chr3p14	0.5353998778482275	0.1711583179987367	0.08404907975460123	0.9592356687898089
chr3q24	0.5112973976404339	0.24371704064257144	0.09263803680981596	0.9576051779935275
chr7q22	0.5077214214078798	0.23973322296962632	0.09447852760736196	0.9576051779935275
chr1q41	0.5052130524103428	0.35909267063746947	0.09539877300613497	0.9576051779935275
chryp11	0.4896825918708432	0.16908158274409413	0.10030674846625767	0.9576051779935275
chr16q21	0.47852954642987267	0.24841837470845232	0.10521472392638037	0.9567213114754098
chr10p12	0.4387372350053402	0.274540751513424	0.12116564417177914	0.942763157894737
chr5q12	0.43737819832127717	0.15595766764958707	0.12239263803680982	0.942763157894737
chr11q25	0.4361634427340486	0.1551131675700292	0.12300613496932515	0.942763157894737
chr2p22	0.43516644461042475	0.20129033605201263	0.12331288343558282	0.942763157894737
chr5q35	0.42982265869689434	0.18660828159677723	0.12607361963190183	0.942763157894737
chr11p15	0.4294917440410094	0.3071368606932394	0.12668711656441717	0.942763157894737
chr9p11	0.42863362262165755	0.2806665360035797	0.1276073619631902	0.942763157894737
chr1q	0.4095563443007348	0.15749637469618308	0.1374233128834356	0.942763157894737
chr4p13	0.4011353699317783	0.23778488602942277	0.14171779141104293	0.942763157894737
chr11q11	0.3948665187704034	0.19677787530160726	0.14447852760736196	0.942763157894737
chr8q13	0.392550019223788	0.16986594536283217	0.14662576687116563	0.942763157894737
chr6q27	0.39194099472781907	0.16465433070017907	0.14754601226993866	0.942763157894737
chr4q23	0.3869659181345356	0.17840658978993063	0.14969325153374233	0.942763157894737
chr15q	0.3822822438210103	0.18523702137236084	0.15245398773006136	0.942763157894737
chr5q13	0.37900590377640986	0.16378420089162665	0.15613496932515336	0.942763157894737
chr19q12	0.36882052343982275	0.16905149108434248	0.1628834355828221	0.942763157894737
chr19p	0.3651267690561206	0.22521232099835714	0.16717791411042945	0.942763157894737
chr1p36	0.3629217698957004	0.19328089503145993	0.16840490797546012	0.942763157894737
chrxq11	0.3595411569683519	0.19755783568079416	0.1705521472392638	0.942763157894737
chr4q13	0.3580315649351347	0.20950291619182623	0.17116564417177915	0.942763157894737
chr6q16	0.3542257608802779	0.17715391330455546	0.17392638036809815	0.942763157894737
chr18q23	0.347413507837474	0.2366979754479194	0.1785276073619632	0.942763157894737
chr12q23	0.34403514330238094	0.19351723344920696	0.18128834355828222	0.942763157894737
chr11q22	0.34011714238352464	0.19764834667069428	0.18404907975460122	0.942763157894737
chr7p14	0.3329367912452769	0.2953352547720164	0.18650306748466258	0.942763157894737
chr5q14	0.3285341680686596	0.2196388952363141	0.18834355828220858	0.942763157894737
chr14q24	0.32216524279702136	0.24256742712557347	0.19294478527607362	0.942763157894737
chr3q28	0.3123845914572628	0.2987198404878755	0.200920245398773	0.9407942238267148
chr2p11	0.30653284402409453	0.2137550515437701	0.20429447852760735	0.9402173913043478
chr15q14	0.3003405662766334	0.17510563244420171	0.20889570552147238	0.9381818181818181
chr11p14	0.288824760445688	0.262446186798008	0.2165644171779141	0.9324817518248175
chr15q24	0.28220015704344004	0.2562357196215354	0.2233128834355828	0.9278388278388278
chr5p12	0.27770299720228336	0.20930113828099348	0.2263803680981595	0.9275735294117647
chr2q34	0.26998878592406095	0.2130244947960842	0.23159509202453987	0.9247232472324723
chr21q11	0.26555809546016246	0.19260682488777212	0.23588957055214724	0.922962962962963
chr6q26	0.26548696912686587	0.2329932427188873	0.23680981595092024	0.922962962962963
chr10q11	0.262497037313076	0.2113814254908405	0.2383435582822086	0.922962962962963
chr1p32	0.2479945451745061	0.26127253724749755	0.249079754601227	0.9172284644194756
chr6p11	0.23075116229726866	0.23741814183283377	0.26380368098159507	0.9026315789473685
chr1p35	0.2282841412866861	0.31803922501092635	0.2668711656441718	0.9022641509433963
chr3q27	0.22613346324948846	0.2919899479566439	0.26901840490797546	0.9022641509433963
chr18q21	0.22413230700267603	0.301342298366541	0.2696319018404908	0.9022641509433963
chr6p22	0.22159831478002626	0.32387128211511723	0.27208588957055213	0.9022641509433963
chr5p15	0.21053142651139325	0.18183487735455836	0.28404907975460125	0.8946360153256704
chr15q26	0.2098419295723835	0.24735147499199872	0.2846625766871166	0.8946360153256704
