Gene Set	Score	0.95 MoE	P-Value	FDR
BRAF.24_UP	-0.07260661933296193			
ETV1.Breast_HMLE_Lung_SALE.Weeks_UP	-0.07490086497952059			
MEKdd.24_UP	-0.08297208324424775			
AKT1.Lung_SALE.24_UP	-0.0868246114783345			
ETV1.Lung_SALE_Skin_PMEL.24_DN	-0.09041902791667701			
ETV1.Skin_PMEL.Weeks_DN	-0.09138698355312219			
KRAS.Lung_SALE.Weeks_DN	-0.10064222640349726			
MEKdd.Skin_PMEL_DN	-0.10574357178271807			
MEKdd.Skin_PMEL.24_DN	-0.10574357178271807			
MEKdd.Breast_HMLE_Lung_SALE.24_UP	-0.10726467322623735			
YAP.mt.Lung_SALE.24_DN	-0.10851738378430664			
MEKdd.Lung_SALE.24_UP	-0.10968982045516039			
MEKdd.Breast_HMLE_UP	-0.11154712315289442			
BRAF.Breast_HMLE_Skin_PMEL.24_DN	-0.1141077247594253			
AKT1.Skin_PMEL.Weeks_DN	-0.11522190625994418			
AKT1.Breast_HMLE_Lung_SALE.24_DN	-0.11838262458807439			
KRAS_DN	-0.1208269778438837			
ETV1.Breast_HMLE_Lung_SALE_UP	-0.12600235796837606			
PIK3CA.Lung_SALE_Skin_PMEL_UP	-0.12646138549603061			
KRAS.Breast_HMLE.Weeks_DN	-0.1348117087588269			
KRAS.Lung_SALE.24_UP	-0.1369159512888505			
AKT1.Breast_HMLE_Skin_PMEL.Weeks_DN	-0.13976754696433463			
YAP.mt.Breast_HMLE_UP	-0.14015286731485765			
PIK3CA.Breast_HMLE.24_UP	-0.14321929852461818			
BRAF.Breast_HMLE_Skin_PMEL_DN	-0.14390087185361786			
KRAS.Breast_HMLE_Lung_SALE.36_DN	-0.14597310127774193			
YAP.Breast_HMLE_Skin_PMEL_UP	-0.153358712869028			
ETV1.Lung_SALE_Skin_PMEL_DN	-0.1574898061386622			
ETV1.Breast_HMLE_Skin_PMEL.Weeks_UP	-0.15811756880877267			
MEKdd.Lung_SALE.24_DN	-0.16073454543466772			
ETV1.Skin_PMEL.24_UP	-0.1671462153272858			
AKT1.Lung_SALE_Skin_PMEL.24_DN	-0.16799311973658057			
