Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
MEKdd.Breast_HMLE_Lung_SALE.24_UP	12857.440388665424	12851.148692427967	13333.448231926295	12941.864680181472	13147.864335264656	12733.829876629974
MEKdd.Breast_HMLE_Lung_SALE.Weeks_DN	13593.523665431721	13604.06459482239	13563.354376777621	13685.70956457927	13491.000034843406	13512.050872450154
MEKdd.Breast_HMLE_Lung_SALE.Weeks_UP	12434.703286628617	12523.578908326042	12169.451218642946	12385.709435547245	12238.226186809266	12193.163401918999
MEKdd.Breast_HMLE_Lung_SALE_DN	14573.641917526827	14641.780013229492	14624.992015857004	14658.049736324043	14640.538707063763	14650.764252490715
MEKdd.Breast_HMLE_Lung_SALE_UP	11111.976103075556	10928.699069107535	11164.736034908456	11140.456672672546	11236.197904427261	10920.002419535156
MEKdd.Breast_HMLE_Skin_PMEL.24_DN	13222.394856143534	13094.580486849116	13222.047608323352	13042.997585139121	13021.999225739572	12875.673844141445
MEKdd.Breast_HMLE_Skin_PMEL.24_UP	13922.1407128699	13893.066528452417	13900.225991943906	13672.37242102603	13718.109631712354	13828.96977479326
MEKdd.Breast_HMLE_Skin_PMEL.Weeks_DN	13077.408759348524	12902.740712554869	13033.663822857265	13240.35027066925	13064.955531208705	12861.289112181163
MEKdd.Breast_HMLE_Skin_PMEL.Weeks_UP	13384.021611284945	13424.411236688227	13324.664647054127	13353.623707651708	13375.12424223999	13330.444756132583
MEKdd.Breast_HMLE_Skin_PMEL_DN	13991.202030486365	14050.395753243818	13970.992104292154	13978.709777817938	14017.539000110908	14065.402795241744
MEKdd.Breast_HMLE_Skin_PMEL_UP	12419.747055652952	12328.589247879603	12401.534836313485	12408.6956460944	12447.254534431522	12387.233718554859
MEKdd.Breast_HMLE_UP	13063.707911799764	12844.205041016026	12904.234484563845	12941.90157984494	12995.728359562614	12755.81938361807
MEKdd.Lung_SALE.24_DN	13515.777844464725	13428.527334484115	13629.721213221357	13586.698132742265	13472.021082529522	13294.708316734837
MEKdd.Lung_SALE.24_UP	12993.831735430067	12979.402860408665	13171.996456242658	12977.675685058726	13275.266096328734	12837.710912506056
MEKdd.Lung_SALE.Weeks_DN	13996.812568237188	14018.07616057936	14158.443875632509	13951.44113660363	14339.597628323912	14188.534602177833
MEKdd.Lung_SALE.Weeks_UP	12608.837224394061	12961.036550626513	12659.410005202028	12681.573311827875	12641.543478529067	12598.170041523805
MEKdd.Lung_SALE_DN	13457.222876266547	13905.487349788971	13879.1456807304	13642.46919065234	13996.67607514698	13705.583187068289
MEKdd.Lung_SALE_Skin_PMEL.24_DN	13331.186502236384	13086.51298717592	13630.587895887296	13036.58903567066	13166.600230647948	13089.403723967998
MEKdd.Lung_SALE_Skin_PMEL.24_UP	14117.256793276469	14055.589478677337	14113.038963440937	14030.751145659631	14007.718026319164	14016.946091831767
MEKdd.Lung_SALE_Skin_PMEL.Weeks_DN	13996.812568237188	14018.07616057936	14158.443875632509	13951.44113660363	14339.597628323912	14188.534602177833
MEKdd.Lung_SALE_Skin_PMEL.Weeks_UP	12608.837224394061	12961.036550626513	12659.410005202028	12681.573311827875	12641.543478529067	12598.170041523805
MEKdd.Lung_SALE_Skin_PMEL_DN	12857.748773318686	12961.957072574165	13174.074099369793	12621.706533475448	12948.497716640168	12716.879258364044
MEKdd.Lung_SALE_Skin_PMEL_UP	12558.215724454052	12462.65100037264	12364.486794178356	12521.604365612768	12371.015280999796	12478.532402924286
MEKdd.Lung_SALE_UP	12621.235773244218	12573.74829590016	12152.39423631204	12605.339338932532	12283.846548186262	12177.330349446578
MEKdd.Skin_PMEL.24_DN	13495.372180380806	13474.387069454957	13651.446558248344	13645.896811857847	13588.096028773492	13367.520227953288
MEKdd.Skin_PMEL.24_UP	13419.18868844516	13421.62112239737	13233.932529593729	13292.4193929157	13427.236516828047	13448.00082454298
MEKdd.Skin_PMEL_DN	13495.372180380806	13474.387069454957	13651.446558248344	13645.896811857847	13588.096028773492	13367.520227953288
MEKdd.Skin_PMEL_UP	13419.18868844516	13421.62112239737	13233.932529593729	13292.4193929157	13427.236516828047	13448.00082454298
MEKdd.Weeks_DN	13626.57409232225	13657.244385187307	13636.854878705866	13683.926459630757	13553.725982343627	13561.299507235168
MEKdd.Weeks_UP	12434.703286628617	12523.578908326042	12169.451218642946	12385.709435547245	12238.226186809266	12193.163401918999
MEKdd_DN	13888.45321808989	13982.640979587166	14038.019482038106	13970.77088152302	14010.924474018571	14035.58752638958
MEKdd_UP	12072.95847873621	12064.03799832033	11900.272766241229	12185.205110770039	11872.062519968016	11871.363923915897
PIK3CA.24_DN	13271.88712847697	13256.171292031077	13263.931700223748	13224.028808675168	13295.393736394	13288.29764860755
PIK3CA.24_UP	12628.77624389115	12624.997132536304	12455.219986923537	12571.714604399494	12398.229355546271	12611.490693757232
PIK3CA.Breast_HMLE.24_DN	14692.738832283469	14648.633108198228	14864.217980143296	14917.754377637342	14918.806943620119	14681.961144929082
PIK3CA.Breast_HMLE.24_UP	12483.47382580533	12422.773448534936	12227.066066035557	12445.659813609502	12065.05590983403	12327.92455188793
PIK3CA.Breast_HMLE_DN	13648.086799055249	13673.55641314539	13655.633023194066	13942.19594749341	13706.347924832768	13667.47327237058
PIK3CA.Breast_HMLE_Lung_SALE.24_DN	13666.983850923805	13900.327054396725	14205.91698157896	13929.534772841385	14066.698361445062	14024.558966946917
PIK3CA.Breast_HMLE_Lung_SALE.24_UP	12965.834184176012	12548.412133834074	12726.61923311312	12432.645056994046	12419.150473979356	12430.187699919583
PIK3CA.Breast_HMLE_Lung_SALE.Weeks_DN	13199.780923010532	13034.944007966666	13023.723799120178	13230.771637101536	13046.126213699943	13194.588088931012
PIK3CA.Breast_HMLE_Lung_SALE.Weeks_UP	14233.778170358199	14319.901365088333	14503.311800095338	14159.426622001463	13968.292001061962	13967.570740129708
PIK3CA.Breast_HMLE_Lung_SALE_DN	12709.575699238007	12938.829983940648	12870.284082388553	12636.267816703088	12916.592909331594	12877.210068458588
PIK3CA.Breast_HMLE_Lung_SALE_UP	12144.736460102338	12133.482687511207	12125.860339920244	11895.902252479284	11770.321364319825	11715.025103550874
PIK3CA.Breast_HMLE_Skin_PMEL.24_DN	13952.377462014416	14102.755166656823	14099.298330234986	14127.01158455825	14257.84035759082	14131.125491844374
PIK3CA.Breast_HMLE_Skin_PMEL.24_UP	12906.853249911828	12884.216900470416	12829.306246183185	12667.155858432978	12639.712060312402	12768.254501998603
PIK3CA.Breast_HMLE_Skin_PMEL.Weeks_DN	12859.214606844112	12695.166455708968	12776.163562311689	12432.706545102274	12590.60903098591	12958.408984620899
PIK3CA.Breast_HMLE_Skin_PMEL.Weeks_UP	14408.837696622119	14390.839933069505	14388.727436073663	14367.216498163667	14349.769336541392	14277.464420288854
PIK3CA.Breast_HMLE_Skin_PMEL_DN	12501.227704858915	12533.22927938822	12621.649753730331	12757.137804066118	12723.812916785184	12652.28448211304
PIK3CA.Breast_HMLE_Skin_PMEL_UP	13660.900513402139	13613.41098230985	13611.009649980553	13523.950482238619	13594.170850058665	13603.456897702568
PIK3CA.Breast_HMLE_UP	12602.289767254037	12489.68313741886	12636.000012897914	12570.626316618642	12205.927918543075	12235.462709484798
PIK3CA.Lung_SALE.24_DN	11910.571135954799	12114.413968564322	11960.22496244286	11825.54281910639	11726.558013306814	11912.302020966887
PIK3CA.Lung_SALE.24_UP	13474.188318897743	13328.672466238671	13482.59001962905	13406.87416348891	13279.144958551868	13291.391039615606
PIK3CA.Lung_SALE.Weeks_DN	12686.922483963339	12530.637414705923	12769.946429380992	12776.29729584994	12588.234820962438	12785.099920724222
PIK3CA.Lung_SALE.Weeks_UP	14235.511516087574	14121.09835861136	14453.570048052283	13994.60274620648	13978.350875926491	13966.673571097497
PIK3CA.Lung_SALE_DN	11232.834653098456	11292.162587856217	11242.326780797237	11187.40346219779	11054.67231222776	11345.28250871933
PIK3CA.Lung_SALE_Skin_PMEL.24_DN	11731.89196675868	11777.745386452689	11943.674690469334	11457.92271238318	11680.562919673059	11580.692753400013
